113	152	1
113	153	2
113	114	3
114	81	4
114	80	5
114	113	6
114	153	1
114	154	2
114	115	3
115	82	4
115	81	5
115	114	6
115	154	1
115	155	2
115	116	3
116	117	4
116	82	5
116	115	6
116	155	1
116	156	2
116	157	3
117	118	4
117	83	5
117	82	6
117	116	1
117	157	2
117	158	3
118	119	4
118	84	5
118	83	6
118	117	1
118	158	2
118	159	3
119	120	4
119	85	5
119	84	6
119	118	1
119	159	2
119	160	3
120	121	4
120	86	5
120	85	6
120	119	1
120	160	2
120	161	3
121	122	4
121	87	5
121	86	6
121	120	1
121	161	2
121	162	3
122	164	4
122	123	5
122	87	6
122	121	1
122	162	2
122	163	3
123	165	4
123	124	5
123	88	6
123	87	1
123	122	2
123	164	3
124	166	4
124	125	5
124	89	6
124	88	1
124	123	2
124	165	3
125	167	4
125	126	5
125	90	6
125	89	1
125	124	2
125	166	3
126	168	4
126	127	5
126	91	6
126	90	1
126	125	2
126	167	3
127	169	4
127	92	5
127	62	6
127	91	1
127	126	2
127	168	3
128	170	4
128	171	5
128	129	6
128	92	1
128	169	2
128	217	3
129	171	4
129	172	5
129	130	6
129	93	1
129	92	2
129	128	3
130	172	4
130	173	5
130	131	6
130	94	1
130	93	2
130	129	3
131	173	4
131	174	5
131	132	6
131	95	1
131	94	2
131	130	3
132	174	4
132	175	5
132	133	6
132	96	1
132	95	2
132	131	3
133	175	4
133	176	5
133	134	6
133	97	1
133	96	2
133	132	3
134	176	4
134	177	5
134	135	6
134	98	1
134	97	2
134	133	3
135	177	4
135	178	5
135	179	6
135	136	1
135	98	2
135	134	3
136	135	4
136	179	5
136	180	6
136	137	1
136	99	2
136	98	3
137	136	4
137	180	5
137	181	6
137	138	1
137	100	2
137	99	3
138	137	4
138	181	5
138	182	6
138	139	1
138	101	2
138	100	3
139	138	4
139	182	5
139	183	6
139	140	1
139	102	2
139	101	3
140	139	4
140	183	5
140	184	6
140	141	1
140	103	2
140	102	3
141	140	4
141	184	5
141	185	6
141	142	1
141	104	2
141	103	3
142	141	4
142	185	5
142	186	6
142	187	1
142	143	2
142	104	3
143	104	4
143	142	5
143	187	6
143	188	1
143	144	2
143	105	3
144	105	4
144	143	5
144	188	6
144	189	1
144	145	2
144	106	3
145	106	4
145	144	5
145	189	6
145	190	1
145	146	2
145	107	3
146	107	4
146	145	5
146	190	6
146	191	1
146	147	2
146	108	3
147	108	4
147	146	5
147	191	6
147	192	1
147	148	2
147	109	3
148	109	4
148	147	5
148	192	6
148	193	1
148	149	2
148	110	3
149	110	4
149	148	5
149	193	6
149	194	1
149	195	2
149	150	3
150	111	4
150	110	5
150	149	6
150	195	1
150	196	2
150	151	3
151	112	4
151	111	5
151	150	6
151	196	1
151	197	2
151	152	3
152	113	4
152	112	5
152	151	6
152	197	1
152	198	2
152	153	3
153	114	4
153	113	5
153	152	6
153	198	1
153	199	2
153	154	3
154	115	4
154	114	5
154	153	6
154	199	1
154	200	2
154	155	3
155	116	4
155	115	5
155	154	6
155	200	1
155	201	2
155	156	3
156	157	4
156	116	5
156	155	6
156	201	1
156	202	2
156	203	3
157	158	4
157	117	5
157	116	6
157	156	1
157	203	2
157	204	3
158	159	4
158	118	5
158	117	6
158	157	1
158	204	2
158	205	3
159	160	4
159	119	5
159	118	6
159	158	1
159	205	2
159	206	3
160	161	4
160	120	5
160	119	6
160	159	1
160	206	2
160	207	3
161	162	4
161	121	5
161	120	6
161	160	1
161	207	2
161	208	3
162	163	4
162	122	5
162	121	6
162	161	1
162	208	2
162	209	3
163	211	4
163	164	5
163	122	6
163	162	1
163	209	2
163	210	3
164	212	4
164	165	5
164	123	6
164	122	1
164	163	2
164	211	3
165	213	4
165	166	5
165	124	6
165	123	1
165	164	2
165	212	3
166	214	4
166	167	5
166	125	6
166	124	1
166	165	2
166	213	3
167	215	4
167	168	5
167	126	6
167	125	1
167	166	2
167	214	3
168	216	4
168	169	5
168	127	6
168	126	1
168	167	2
168	215	3
169	217	4
169	128	5
169	92	6
169	127	1
169	168	2
169	216	3
170	218	4
170	219	5
170	171	6
170	128	1
170	217	2
170	271	3
171	219	4
171	220	5
171	172	6
171	129	1
171	128	2
171	170	3
172	220	4
172	221	5
172	173	6
172	130	1
172	129	2
172	171	3
173	221	4
173	222	5
173	174	6
173	131	1
173	130	2
173	172	3
174	222	4
174	223	5
174	175	6
174	132	1
174	131	2
174	173	3
175	223	4
175	224	5
175	176	6
175	133	1
175	132	2
175	174	3
176	224	4
176	225	5
176	177	6
176	134	1
176	133	2
176	175	3
177	225	4
177	226	5
177	178	6
177	135	1
177	134	2
177	176	3
178	226	4
178	227	5
178	228	6
178	179	1
178	135	2
178	177	3
179	178	4
179	228	5
179	229	6
179	180	1
179	136	2
179	135	3
180	179	4
180	229	5
180	230	6
180	181	1
180	137	2
180	136	3
181	180	4
181	230	5
181	231	6
181	182	1
181	138	2
